ID, Title, Description, Price, Condition, Link, Availability, Image link
"64f8cd3087920a824b55aaf6","Andis Slimline Pro Li Cordless Trimmer Black","Lithium ion battery delivers up to 2 hours of run time with a 2 hour, 15 minute charge time Improved motor for increased speed, power and life Balanced, ergonomic trimmer for light-duty touch-ups and trimming around necklines","109.99","new","https://xpressbeauty/products/andis-slimline-pro-li-cordless-trimmer-black","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/AndisSlimlineProLiCordlessTrimmerBlack/AndisSlimlineProLiCordlessTrimmerBlack.webp"
"64f8cd3087920a824b55aaf7","BaBylissPRO FX3 Cordless Trimmer","BaByliss FX3 Cordless TrimmerThe BaBylissPRO FX3 cord/cordless trimmer is equipped with a high-torque, brushless Ferrari-designed engine. It features a DLC/titanium zero-gap exposed T-blade with 360 degree views, making it the perfect tool for all detail work. A lithium polymer battery provides a 3-hour run time on a full charge and the ultra-thin ergonomic European housing with carbon texture inlay, makes this an eye-catching trimmer. A must-have tool for precise work on all hair textures.Cord/cordless operationHigh-torque, brushless, Ferrari-designed engineDLC/Titanium adjustable zero-gap exposed T-blade with 360° view (Replacement blade #FX703G)Lithium polymer battery (3-hour runtime)4 stage LED battery indicator 7,200 RPM Ultra-thin ergonomic design Dual voltageChargerHanging hook and hanging strap included","199.99","new","https://xpressbeauty/products/babylisspro-fx-cordless-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BaBylissPROFXCordlessTrimmer/BaBylissPROFXCordlessTrimmer.webp"
"64f8cd3087920a824b55aaf8","JRL FreshFade 2020T Trimmer","360° Exposed Ultra Sharp T shape bladePatented Smart-Clip TechnologyCool Blade Technology: Blade stays cool and Sharp after extended use2 Hours battery life7,200 Revolutions Per MinuteSuperior Motor: 3 times more powerful on torsion than most trimmers on the market.Quiet Motor: Quiet motor, under 60dB, creates quiet working environmentGlobal Universal VoltageStainless Steel blade Ideal For lining designing and dry shavingHanging HookAccessories: 1 Screwdriver, 1 Brush, 1 Lubricant Oil, 1 Blade Protector, 1 US Plug","159.99","new","https://xpressbeauty/products/jrl-freshfade-t-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/JRLFreshFadeTTrimmer/JRLFreshFadeTTrimmer.webp"
"64f8cd3087920a824b55aaf9","BabylissPro RoseFX Skeleton Metal Trimmer","Babyliss RoseFX Skeleton Metal TrimmerCord / cordless operationLithium ion battery (2 hour run time)All metal housing with knurled barbell gripZero gap tool includedDual voltageHanging hookNo comb attachments includedDLC Titanium coated T Blade","209.99","new","https://xpressbeauty/products/babylisspro-rosefx-skeleton-metal-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProRoseFXSkeletonMetalTrimmer/BabylissProRoseFXSkeletonMetalTrimmer.webp"
"64f8cd3087920a824b55aafa","Slimline Pro GTX Cordless Trimmer","Marries the sleek, lightweight body of the Slimline Pro Li to the wider, deep tooth GTX T-blade from the T-Outliner trimmer;The GTX T-Blade allows for more hair to feed faster without sacrificing precision and can be zero gapped too!The wider blade also creates an improved line of sight to the cutting surface making it easier to perform precision trimmer.2 hour run time on a single charge.","139.99","new","https://xpressbeauty/products/slimline-pro-gtx-cordless-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SlimlineProGTXCordlessTrimmer/SlimlineProGTXCordlessTrimmer.webp"
"64f8cd3087920a824b55aafb","BabylissPro Nose & Ear Trimmer","An easy, safe way to keep nose and ear hair in check.Babyliss Nose & Ear TrimmerLook, this is not the most glamorous product we sell. But the BaBylissPRO Nose & Ear trimmer will take care of any less-than-desirable hair in the nasal/aural areas, and that’s a worthy goal. With a circular tip, it’s easy to use safely. Please, step away from the scissors and use this instead. It’ll only take a minute. This trimmer takes one AA battery, and comes with one included. The tip detaches for easy cleaning once your ears and nose are looking respectable again.What are the features and benefits of the BaBylissPRO Nose & Ear Trimmer?Trims unwanted ear and nose hairCircular cutting mechanismSafe and quick to useHead detaches for cleaningAA battery includedOne year warranty","24.99","new","https://xpressbeauty/products/babylisspro-nose--ear-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/BabylissProNoseEarTrimmer/BabylissProNoseEarTrimmer.webp"
"64f8cd3087920a824b55aafc","S|C Saber Cordless Brushless Motor Trimmer","LONG-LIFE DIGITAL BRUSHLESS MOTOR runs at 7,500 RPMs for more efficient power transfer for smooth operation and reduction of heatHEAVY DUTY FULL METAL BODY with slim designGOLD TITANIUM X-PRO Wide fixed blade and The One deep tooth black diamond carbon DLC moving blade comboLITHIUM-ION BATTERY delivers 4 hours of cordless run-time with a 90-minute rechargeFULLY ADJUSTABLE ZERO GAP BLADE for the closest cut and finishUNIVERSAL USB RECHARGEABLE for convenience and worldwide useENGINEERED AND DESIGNED in the USAINCLUDES: Trimmer, Gold Titanium fixed wide X-Pro blade, The One Black Diamond Carbon DLC moving blade, blade cap protector, Micro USB charging cord, charging stand, mini screwdriver","244.43","new","https://xpressbeauty/products/sc-saber-cordless-brushless-motor-trimmer","out_of_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/SCSaberCordlessBrushlessMotorTrimmer/SCSaberCordlessBrushlessMotorTrimmer.webp"
"64f8cd3087920a824b55aafd","Wahl Lithium Beret Trimmer","75 minute run time with 1 hour charge time. Lithium Ion no memory battery.Powerful rotary DC motor.Ultra slim, quiet and light in weight. Brushed nickel chrome finish. Ergonomic design.Chrome plated precision blade set cuts incredibly close to skin. Powerful ultra-close 0.4mm cutting.Ideal for hair tattooing & design work.Includes 4 guides.Kit includes: #56308 Professional cord/cordless trimmer - Blade guard - 4 Guides - Charging stand - Cleaning brush - Blade oil - Instructions","59.99","new","https://xpressbeauty/products/wahl-lithium-beret-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/WahlLithiumBeretTrimmer/WahlLithiumBeretTrimmer.webp"
"64f8cd3087920a824b55aafe","Andis Cordless T-Outliner Trimmer","The classic performance you expect from the T-Outliner, now with cordless freedom and convenience.Lithium-ion battery delivers over 100 minutes of nonstop run time; charges in just 1 hourExtremely powerful, high-speed rotary motor with blade speeds over 7,200 SPMFeatures constant speed technology; won't drag or stall through heavy and thick hair typesClose-cutting, carbon-steel T-blade for lining, designing and dry shaving - can be zero gappedCord/cordless operation features an LED light to indicate battery power levels","300","new","https://xpressbeauty/products/andis-cordless-toutliner-trimmer","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/AndisCordlessTOutlinerTrimmer/AndisCordlessTOutlinerTrimmer.webp"
"64f8cd3087920a824b55aaff","Wahl 5 Star Detailer Trimmer Black & Gold Edition","This tool is designed for extremely close trimming, creating crisp clean lines, facial hair detailing and design, and detailed hair tattooing. Equipped with a t-wide blade (1/4” wider than a standard Wahl t-blade), the extended blade cutting area produces faster cutting results, convenient for both you and your clients.","109.99","new","https://xpressbeauty/products/wahl--star-detailer-trimmer-black--gold-edition","in_stock","https://xpressbeauty.s3.ca-central-1.amazonaws.com/products-images-2/WahlStarDetailerTrimmerBlackGoldEdition/WahlStarDetailerTrimmerBlackGoldEdition.webp"
